from,to,weight,geometry
1722835535,4533090378,21.07874635473582,"LINESTRING (112.8003134 -7.2890992, 112.8002385 -7.2892736)"
1722835535,1722835528,46.24319041708447,"LINESTRING (112.8003134 -7.2890992, 112.8003588 -7.2889481, 112.8003974 -7.2888134, 112.8004295 -7.2886996)"
1722835535,4533090379,76.05532721221323,"LINESTRING (112.8003134 -7.2890992, 112.8003412 -7.2891079, 112.800971 -7.289305)"
1722835536,4533090365,58.29474650793813,"LINESTRING (112.8016184 -7.2890648, 112.8011114 -7.2889167)"
1722835547,4533091990,53.63056116751911,"LINESTRING (112.800146 -7.2894911, 112.7999514 -7.2899331)"
1722835547,4533090378,26.24894047081477,"LINESTRING (112.800146 -7.2894911, 112.8001997 -7.2893639, 112.8002385 -7.2892736)"
1722835547,1722835557,116.16503324565024,"LINESTRING (112.800146 -7.2894911, 112.8001888 -7.2895051, 112.8011522 -7.2897997)"
1722835548,3125265144,41.320858642918324,"LINESTRING (112.8016287 -7.2895411, 112.8012774 -7.289412)"
1722835557,1722835558,50.03447763693695,"LINESTRING (112.8011522 -7.2897997, 112.8015843 -7.2899367)"
1722835557,4188931895,45.935786671061294,"LINESTRING (112.8011522 -7.2897997, 112.8011209 -7.2898788, 112.8010857 -7.289974, 112.8010562 -7.2900557, 112.8010319 -7.2901239, 112.8010074 -7.290187)"
1722835557,1722835547,116.16503324565024,"LINESTRING (112.8011522 -7.2897997, 112.8001888 -7.2895051, 112.800146 -7.2894911)"
1722835557,3125265144,45.27730595973031,"LINESTRING (112.8011522 -7.2897997, 112.8012142 -7.2896212, 112.8012774 -7.289412)"
1722835558,1722835557,50.03447763693695,"LINESTRING (112.8015843 -7.2899367, 112.8011522 -7.2897997)"
1722835563,1722835600,256.401536686993,"LINESTRING (112.7971402 -7.2900484, 112.7969849 -7.2907286, 112.7969098 -7.2910323, 112.7968909 -7.2911041, 112.7968234 -7.2913741, 112.7967658 -7.2916045, 112.7967546 -7.2916495, 112.7967031 -7.2918496, 112.7966173 -7.2921701, 112.7965946 -7.2922895)"
1722835563,10062964137,60.52366565709909,"LINESTRING (112.7971402 -7.2900484, 112.796807 -7.2901648, 112.7966947 -7.2901972, 112.7966518 -7.2902078, 112.7966181 -7.2902142)"
1722835563,2535857129,48.07382692822503,"LINESTRING (112.7971402 -7.2900484, 112.7973219 -7.2899912, 112.7974144 -7.2899626, 112.7974746 -7.2899476, 112.7975586 -7.2899281)"
1722835564,3125256886,4.573732183662967,"LINESTRING (112.7992 -7.2901552, 112.7992391 -7.2901689)"
1722835564,3123414322,291.51415695253604,"LINESTRING (112.7992 -7.2901552, 112.7989794 -7.2905934, 112.7989163 -7.2907023, 112.7988926 -7.2907431, 112.7987531 -7.2910265, 112.7987061 -7.2911275, 112.7986335 -7.2913102, 112.7985701 -7.2915206, 112.7984542 -7.2918556, 112.7983644 -7.2921342, 112.7982918 -7.2923075, 112.7982621 -7.2923766, 112.7982259 -7.2924314, 112.7982051 -7.2924642, 112.798201 -7.2924667, 112.798197 -7.2924684, 112.7981927 -7.2924692, 112.7981884 -7.2924691, 112.7981187 -7.2924194)"
1722835564,2535857129,187.67770448318936,"LINESTRING (112.7992 -7.2901552, 112.7986308 -7.2899355, 112.7984511 -7.2898683, 112.7984069 -7.2898551, 112.7983867 -7.2898522, 112.7983668 -7.2898515, 112.7983418 -7.2898513, 112.7982181 -7.289858, 112.7980756 -7.2898683, 112.7978922 -7.2898882, 112.7975586 -7.2899281)"
1722835574,4188931895,44.893339795366686,"LINESTRING (112.8008607 -7.2905636, 112.8010074 -7.290187)"
1722835600,1722835563,256.401536686993,"LINESTRING (112.7965946 -7.2922895, 112.7966173 -7.2921701, 112.7967031 -7.2918496, 112.7967546 -7.2916495, 112.7967658 -7.2916045, 112.7968234 -7.2913741, 112.7968909 -7.2911041, 112.7969098 -7.2910323, 112.7969849 -7.2907286, 112.7971402 -7.2900484)"
2320319143,1362426360,23.571519105837424,"LINESTRING (112.7899094 -7.2807724, 112.7898711 -7.2807535, 112.7898438 -7.2807208, 112.789832 -7.2806801, 112.7898379 -7.2806381, 112.7898602 -7.280602)"
3125256886,4533090385,56.79324885580807,"LINESTRING (112.7992391 -7.2901689, 112.7994483 -7.2897022)"
3125256886,1722835564,4.573732183662967,"LINESTRING (112.7992391 -7.2901689, 112.7992 -7.2901552)"
3125256886,4533091990,115.62154307285947,"LINESTRING (112.7992391 -7.2901689, 112.7996274 -7.2903141, 112.7997761 -7.2903701, 112.7998438 -7.2901925, 112.7998951 -7.2900622, 112.7999514 -7.2899331)"
3125265144,4533090379,35.82805075149969,"LINESTRING (112.8012774 -7.289412, 112.800971 -7.289305)"
3125265144,1722835548,41.320858642918324,"LINESTRING (112.8012774 -7.289412, 112.8016287 -7.2895411)"
3125265144,1722835557,45.27730595973031,"LINESTRING (112.8012774 -7.289412, 112.8012142 -7.2896212, 112.8011522 -7.2897997)"
5561000745,6402008305,28.025241444749817,"LINESTRING (112.7957994 -7.2772452, 112.7960522 -7.2772705)"
5561000745,5561000746,22.77144243099769,"LINESTRING (112.7957994 -7.2772452, 112.7956425 -7.2773783)"
5561000745,6402008132,12.995395962878074,"LINESTRING (112.7957994 -7.2772452, 112.7957868 -7.277129)"
5561000746,5561000745,22.77144243099769,"LINESTRING (112.7956425 -7.2773783, 112.7957994 -7.2772452)"
5561000746,6751564843,18.508045622625083,"LINESTRING (112.7956425 -7.2773783, 112.7958094 -7.2773955)"
5561000746,5561000747,44.58899558518637,"LINESTRING (112.7956425 -7.2773783, 112.7956099 -7.2774005, 112.7955684 -7.2774358, 112.7955392 -7.277472, 112.7955191 -7.277506, 112.7954996 -7.2775472, 112.7954725 -7.2776021, 112.7954223 -7.2777059)"
5561000747,2110299410,17.713316264894836,"LINESTRING (112.7954223 -7.2777059, 112.7953324 -7.2775739)"
5561000747,6402008280,55.17747075818052,"LINESTRING (112.7954223 -7.2777059, 112.7955064 -7.2777765, 112.7955191 -7.2777906, 112.7955248 -7.2777997, 112.7955296 -7.2778124, 112.7955347 -7.2778298, 112.7955387 -7.2778704, 112.7955433 -7.2781552)"
5561000747,5561000746,44.58899558518636,"LINESTRING (112.7954223 -7.2777059, 112.7954725 -7.2776021, 112.7954996 -7.2775472, 112.7955191 -7.277506, 112.7955392 -7.277472, 112.7955684 -7.2774358, 112.7956099 -7.2774005, 112.7956425 -7.2773783)"
5561000747,12777683060,13.440007440389369,"LINESTRING (112.7954223 -7.2777059, 112.7953632 -7.277811599999998)"
5561000751,6402008259,8.737531055344313,"LINESTRING (112.7979406 -7.2787833, 112.7979719 -7.2788074, 112.797986 -7.2788441)"
5561000751,12777683089,7.437249418759243,"LINESTRING (112.7979406 -7.2787833, 112.7979106 -7.2788432)"
5561000753,838481606,158.68919598008316,"LINESTRING (112.7962913 -7.2749727, 112.7973213 -7.2747437, 112.7974732 -7.2746726, 112.7976485 -7.2745488)"
1362477888,838481610,8.210032430171779,"LINESTRING (112.7977153 -7.2744495, 112.7977464 -7.2744293, 112.7977808 -7.2744151)"
1362477888,10008375689,1316.752291482239,"LINESTRING (112.7977153 -7.2744495, 112.7976527 -7.2743595, 112.7976438 -7.2743534, 112.7976362 -7.2743501, 112.7976247 -7.2743466, 112.7976125 -7.2743452, 112.7975619 -7.2743455, 112.7974821 -7.2743482, 112.7972309 -7.2743764, 112.790668 -7.2756785, 112.7897832 -7.2758992, 112.7882079 -7.2762544, 112.7864854 -7.276608, 112.7863009 -7.2766421, 112.786183 -7.2766673, 112.7860718 -7.2766874)"
7676453722,7676453723,14.615977446192577,"LINESTRING (112.7972484 -7.2872337, 112.7972449 -7.2871955, 112.7972261 -7.2871043)"
7676453723,7874876496,11.362404648788411,"LINESTRING (112.7972261 -7.2871043, 112.7973282 -7.2870907)"
7676453723,1365152954,78.54776502584903,"LINESTRING (112.7972261 -7.2871043, 112.7967865 -7.2871817, 112.7965236 -7.2872197)"
7676453723,7676453722,14.615977446192577,"LINESTRING (112.7972261 -7.2871043, 112.7972449 -7.2871955, 112.7972484 -7.2872337)"
7676453724,7676453725,30.5364271582705,"LINESTRING (112.7959767 -7.2891339, 112.7957021 -7.2891689)"
7676453724,7676453727,19.718875802284874,"LINESTRING (112.7959767 -7.2891339, 112.796005 -7.289309)"
